[cf-gen] Step     0/15000 | lr:5.00e-05 | loss:0.1488 (mse:0.0025 hf:0.2926) | t=976 | 1.9s
[cf-gen] Step   100/15000 | lr:5.00e-05 | loss:0.2666 (mse:0.1499 hf:0.2335) | t=115 | 164.8s
[cf-gen] Step   200/15000 | lr:5.00e-05 | loss:0.2435 (mse:0.1176 hf:0.2517) | t=445 | 31.9s
[cf-gen] Step   300/15000 | lr:5.00e-05 | loss:0.2273 (mse:0.1044 hf:0.2457) | t=391 | 30.8s
[cf-gen] Step   400/15000 | lr:5.00e-05 | loss:0.2552 (mse:0.1351 hf:0.2403) | t=109 | 30.6s
[cf-gen] Step   500/15000 | lr:5.00e-05 | loss:0.2463 (mse:0.1234 hf:0.2459) | t= 46 | 30.4s
[cf-gen] Step   600/15000 | lr:5.00e-05 | loss:0.2364 (mse:0.1177 hf:0.2373) | t=296 | 164.7s
[cf-gen] Step   700/15000 | lr:5.00e-05 | loss:0.2587 (mse:0.1398 hf:0.2379) | t= 72 | 30.3s
[cf-gen] Step   800/15000 | lr:5.00e-05 | loss:0.2479 (mse:0.1265 hf:0.2429) | t=747 | 31.1s
[cf-gen] Step   900/15000 | lr:5.00e-05 | loss:0.2225 (mse:0.0985 hf:0.2480) | t=408 | 30.0s
[cf-gen] Step  1000/15000 | lr:5.00e-05 | loss:0.2643 (mse:0.1455 hf:0.2377) | t=352 | 30.5s
[cf-gen] Step  1100/15000 | lr:5.00e-05 | loss:0.2563 (mse:0.1379 hf:0.2368) | t=749 | 163.8s
[cf-gen] Step  1200/15000 | lr:5.00e-05 | loss:0.2814 (mse:0.1699 hf:0.2229) | t=720 | 31.0s
[cf-gen] Step  1300/15000 | lr:5.00e-05 | loss:0.2293 (mse:0.1066 hf:0.2454) | t=865 | 30.1s
[cf-gen] Step  1400/15000 | lr:5.00e-05 | loss:0.2399 (mse:0.1191 hf:0.2417) | t=575 | 30.4s
[cf-gen] Step  1500/15000 | lr:5.00e-05 | loss:0.2382 (mse:0.1144 hf:0.2475) | t=579 | 30.7s
[cf-gen] Step  1600/15000 | lr:5.00e-05 | loss:0.2518 (mse:0.1325 hf:0.2387) | t=228 | 164.1s
[cf-gen] Step  1700/15000 | lr:5.00e-05 | loss:0.2460 (mse:0.1267 hf:0.2386) | t=208 | 29.8s
[cf-gen] Step  1800/15000 | lr:5.00e-05 | loss:0.2680 (mse:0.1516 hf:0.2328) | t=234 | 30.1s
[cf-gen] Step  1900/15000 | lr:5.00e-05 | loss:0.2414 (mse:0.1210 hf:0.2408) | t=886 | 30.7s
[cf-gen] Step  2000/15000 | lr:5.00e-05 | loss:0.2215 (mse:0.0989 hf:0.2451) | t=790 | 31.2s
[cf-gen] Step  2100/15000 | lr:5.00e-05 | loss:0.2391 (mse:0.1201 hf:0.2379) | t=301 | 165.9s
[cf-gen] Step  2200/15000 | lr:5.00e-05 | loss:0.2536 (mse:0.1339 hf:0.2393) | t=210 | 30.4s
[cf-gen] Step  2300/15000 | lr:5.00e-05 | loss:0.2573 (mse:0.1406 hf:0.2334) | t= 55 | 30.6s
[cf-gen] Step  2400/15000 | lr:5.00e-05 | loss:0.2539 (mse:0.1367 hf:0.2345) | t=181 | 31.3s
[cf-gen] Step  2500/15000 | lr:5.00e-05 | loss:0.2299 (mse:0.1098 hf:0.2402) | t= 56 | 31.4s
[cf-gen] Step  2600/15000 | lr:5.00e-05 | loss:0.2333 (mse:0.1104 hf:0.2460) | t=905 | 176.4s
